12:47:49:918|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:48:49:948|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:49:49:982|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:50:49:009|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:51:49:040|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:52:49:068|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:53:49:097|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:54:49:130|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:55:49:163|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:56:49:194|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=5,}
12:57:49:223|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:58:49:256|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:59:49:282|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:00:49:313|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:01:49:340|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:02:49:372|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:03:49:401|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:04:49:429|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:05:49:456|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
13:06:49:487|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=5,}
13:07:49:516|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:08:49:547|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:09:49:580|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:10:49:611|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:11:49:642|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:12:49:672|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:13:49:698|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:14:49:729|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:15:49:754|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:16:49:783|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=5,}
13:17:49:813|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:18:49:841|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:19:49:874|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:20:49:900|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:21:49:928|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:22:49:960|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:23:49:989|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:24:50:019|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:25:49:049|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:27:19:639|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,3=1}
13:28:19:669|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
13:29:19:697|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:30:19:726|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1}
13:31:19:756|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:32:19:790|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
13:33:19:822|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2}
13:34:19:855|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
13:35:19:878|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
13:36:19:911|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1}
13:37:19:942|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=5,}
13:38:19:972|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:39:20:003|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
13:40:20:029|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1,}
13:41:20:056|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2}
13:42:20:085|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:43:20:114|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2}
13:44:20:147|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1,}
13:45:20:175|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1}
13:46:20:204|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:47:20:236|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=5,}
13:48:20:267|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:49:20:296|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:50:20:325|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
13:51:20:352|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
13:52:20:382|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
13:53:20:413|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1}
13:54:20:446|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
13:55:20:476|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1}
13:56:20:505|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:57:20:536|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=5}
13:58:20:570|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
13:59:20:601|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1}
14:00:20:626|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1,}
14:01:19:657|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2}
14:02:19:685|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
14:03:19:718|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1}
14:04:19:748|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
14:05:19:781|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
14:06:19:811|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
14:07:19:841|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,3=3}
14:08:19:872|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
